,Binomial,Leaf Relative water content (water content / water content at saturation),Leaf Water content (molar) per leaf dry mass (WCd),Leaf Water content saturating (molar) (WCs),Leaf Water content total (molar) (WCt),Leaf area index of the site (LAI),Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,Leaf carbon content per area,Leaf carbon content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf carotenoid content per dry mass,Leaf chlorophyll a content per dry mass,Leaf chlorophyll a+b content per area,Leaf chlorophyll a/b ratio,Leaf chlorophyll b content per dry mass,Leaf chlorophyll content (a+b) per dry mass,Leaf compoundness,Leaf dry matter content per leaf water-saturated mass (LDMC),Leaf lamina thickness,"Leaf lifespan (longevity, retention time, LL)",Leaf nitrogen content per area (Narea),Leaf nitrogen content per dry mass (Nmass),Leaf petiole length,Leaf phenology type,Leaf phosphorus content per area (Parea),Leaf phosphorus content per dry mass (Pmass),Leaf position,Leaf respiration per area at leaf temperature,Leaf respiration per dry mass,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf thickness,Leaf tissue density,Leaf transpiration (molar) per dry mass,Leaf transpiration rate per dry mass (daytime),Leaf water content per leaf dry mass,"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",Leaf water content saturating,Leaf water content total,Leaf water saturation deficit
423,Cornus suecica,,661.8843537,,,,0.1-1,,48.26790395,23.36834652,,,,,,5.5,simple,183.75,,,,2.065525,0.0,,,0.02,,,22.0955,entire,pointed,1-3 times as long as wide,rounded,sessile,0.1685,191.8072368,,,4.442176871,81.625,,,
424,Lysimachia maritima,,642.4051183,,,,0.1-1,,,,3.49,,,3.58,,8.01,simple,188.2727273,,,,1.53,1.0,,,0.144,,,,entire,rounded,1-3 times as long as wide,,subsessile,,,,,4.311443747,81.17272727,,,
425,Linum perenne,,639.192975,,,1.717916727,0.1-1,,,,,,,,,,simple,189.04,,,,3.19,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,,,,4.289885739,81.096,,,
426,Herniaria glabra,,637.9025614,,,,0.1-1,,,,,,,,,,simple,189.35,0.2-0.5,,,2.07,0.0,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,4.281225244,81.065,,,
427,Saxifraga aizoides,,621.4638296,,,,0.1-1,,,,0.857142857,,,2.6,,3.095238095,simple,193.39,,,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,,,,4.170898185,80.661,,,
428,Armeria maritima,,606.9614409,,,2.455902755,0.1-1,,,,,,,,,,simple,197.1,,,,1.7,,,,02-Mar,,,,entire,pointed,>3 times as long as wide,parallel-sided,,0.61,157.7256168,,,4.073566717,80.29,,,
429,Cerastium alpinum,,592.5148801,,,,0.1-1,,,,1.1,,,2.9,,4.55,simple,200.94,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,3.976609933,79.906,,,
430,Ranunculus reptans,,552.8370231,,,2.26222229,0.1-1,,,,,,,,,,simple,212.3,,,,,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,3.710315591,78.77,,,
431,Cerastium pumilum,,538.7769572,,,2.478194416,0.1-1,,15.25,,,,,,,,simple,216.64,,6,,,,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,0.323,218.3339374,,,3.615952733,78.336,,,
432,Lythrum hyssopifolia,,534.2355099,,,1.58375001,0.1-1,,,,,,,,,,simple,218.08,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,rounded,sessile,,,,,3.585473221,78.192,,,
433,Gentiana pneumonanthe,,533.7658892,,,2.104583263,0.1-1,,,,,,,,,,simple,218.23,,,,,,,,,,,,entire,rounded,>3 times as long as wide,parallel-sided,sessile,,,,,3.582321404,78.177,,,
434,Centaurium littorale,,531.5828347,,,,0.1-1,,,,,,,,,,simple,218.93,,,,,0.0,,,,,,,entire,rounded,>3 times as long as wide,cuneate,sessile,,,,,3.567670032,78.107,,,
435,Filago pyramidata,,508.5173205,,,1.691527784,0.1-1,,23.82,,,,,,,,simple,226.61,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,0.157,183.8218399,,,3.412867923,77.339,,,
436,Alyssum alyssoides,,500.2374728,,,1.36722219,0.1-1,,,,,,,,,,simple,229.5,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,3.357298475,77.05,,,
437,Petrorhagia prolifera,,495.3800545,,,1.47777772,0.1-1,,,,,,,,,,simple,231.23,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,3.324698352,76.877,,,
438,Cerastium cerastoides,,528.3079744,,,,0.1-1,,,,,,,,,,simple,231.535,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,,,,3.545691103,76.8465,,,
439,Potamogeton trichoides,,479.34732,,,1.830694437,0.1-1,,,,,,,,,,simple,237.13,,,,,0.0,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,3.217096108,76.287,,,
440,Dianthus gratianopolitanus,,476.209802,,,2.307916641,0.1-1,,,,,,,,,,simple,238.32,,,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,3.196038939,76.168,,,
441,Veronica fruticans,,475.0576311,,,,0.1-1,,,,,,,,,,simple,238.76,,,,,2.0,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,subsessile,,,,,3.188306249,76.124,,,
442,Poa bulbosa,,478.7404501,,,1.87604171,0.1-1,,20.08,,,,,,,,simple,241.155,,,,1.34228466,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.08,325.5375653,,,3.213023155,75.8845,,,
443,Honckenya peploides,,460.5316016,,,2.215972185,0.1-1,,43.476,20.77209747,1.363636364,,,3.4,,4.818181818,simple,244.45,,,,2.093,,,,0.246,,,,entire,pointed,1-3 times as long as wide,parallel-sided,sessile,,,,,3.090816118,75.555,,,
444,Poa glauca,,448.457797,,,1.255277753,0.1-1,,43.81466667,11.71201996,,,,,,,simple,249.39,,,,0.5,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,3.009783873,75.061,,,
445,Galatella linosyris,,438.2152597,,,1.36722219,0.1-1,,,,,,,,,,simple,253.74,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,2.941042012,74.626,,,
446,Puccinellia maritima,,427.6950717,,,,0.1-1,,,,,,,,,,simple,258.3725285,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.870436723,74.16274715,,,
447,Arenaria serpyllifolia,,415.1375133,,,2.478194416,0.1-1,,17.26,,,,,,,,simple,264.12,,6,,1,,hibernal,,0.42,,,,entire,pointed,1-3 times as long as wide,parallel-sided,subsessile,0.237,240.1485078,,,2.786157807,73.588,,,
448,Festuca rubra,,407.421875,,,1.338055491,0.1-1,,46.3,29.91363151,1.407407407,,,4.4,,3.703703704,simple,267.7824268,,4.08,,1.61,,aestival,,0.22,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.213307038,,,,2.734375,73.22175732,,,
449,Juncus bulbosus,,398.2508907,,,1.410833359,0.1-1,,,,,,,,,,simple,272.27,0.5-1.0,,,,,evergreen,,,floating,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.67282477,72.773,,,
450,Tofieldia pusilla,,378.3098567,,,,0.1-1,,,,0.78,,,,,3.73,simple,282.985,,,,1.51,0.0,,,0.148,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,2.538992327,71.7015,,,
451,Luzula spicata,,374.6154062,,,1.255277753,0.1-1,,43.27566667,21.28485942,,,,,,,simple,284.56,,,,2.033166667,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.514197357,71.544,,,
452,Diphasiastrum alpinum,,370.0371686,,,,0.1-1,,,,,,,,,,simple,287.07,,,,,,evergreen,,,,,,entire,pointed,1-3 times as long as wide,,sessile,,,,,2.48347093,71.293,,,
453,Poa nemoralis,,359.6057692,,,1.830416679,0.1-1,,43.796,18.65651214,,,,,,,simple,293.7993379,,,,2.994569667,,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.413461539,70.62006621,,,
454,Poa compressa,,342.3158474,,,1.763888836,0.1-1,,45.028,33.89940828,,,,,,,simple,303.2695122,,18,,1.352,,,,0.062,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.297421795,69.67304878,,,
455,Helianthemum apenninum,,332.8575771,,,1.760416687,0.1-1,,31.3,19.66078697,,,,,,,simple,309.22,,,,2.211,,evergreen,,0.167,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,0.345,276.3156077,,,2.233943471,69.078,,,
456,Arctostaphylos uva-ursi,,325.3927708,,,1.231666684,0.1-1,,48.391,17.58713429,,,,,,1.2,simple,314.0935982,,,,0.99,,evergreen,,,,,5.8065,entire,pointed,1-3 times as long as wide,cuneate,petiolate,0.83,314.0935982,,,2.183844099,68.59064018,,,
457,Galium verum,73.08365589,116.9464286,46.77857143,162.9558424,1.292638898,0.1-1,,46.93317557,23.1145254,1.39,,,,,5.225472813,simple,323.3695652,,36,,2.19,0.0,evergreen,,0.0963,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,0.211598205,370.0,0.02495,1.616326531,2.092436975,67.66304348,0.842857143,2.936141304,26.91634411
458,Cerastium arvense,,316.6001837,,,1.191388905,0.1-1,,44.02516667,15.99263558,,,,,,,simple,327.047856,,,,3.5,0.0,,,0.0014,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,0.30125,212.4906285,,,2.124833448,67.2952144,,,
459,Vulpia myuros,,304.2319392,,,1.458055556,0.1-1,,,,,,,,,,simple,328.75,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.121,797.6792065,,,2.041825095,67.125,,,
460,Bupleurum baldense,,304.163017,,,1.736805558,0.1-1,,18.9,,,,,,,,simple,328.8,,,,,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,0.211,294.186002,,,2.04136253,67.12,,,
461,Abies alba,,299.8898262,,,1.576527834,0.1-1,,50.45,43.09452387,,,,,,,simple,331.93,0.2-0.5,,,0.9536,0.0,evergreen,,0.1041,,,,entire,rounded,>3 times as long as wide,parallel sided,sessile,0.469015625,269.5853545,,,2.012683397,66.807,,,
462,Koeleria vallesiana,,292.1024601,,,1.736805558,0.1-1,,19.72,,,,,,,,simple,337.79,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.325,245.3686664,,,1.960419195,66.221,,,
463,Potamogeton pusillus,,289.5302494,,,1.570694447,0.1-1,,,,,,,,,,simple,339.86,,,,,,,,,submerged,,,entire,rounded,>3 times as long as wide,parallel-sided,sessile,,,,,1.943156036,66.014,,,
464,Poa pratensis,,281.0153254,,,1.674722195,0.1-1,,44.5954,26.32887451,,,,,,,simple,346.5,,,,1.19,,evergreen,,0.067997248,,,19.2,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.2,330.5119776,,,1.886008895,65.35,,,
465,Carex pulicaris,,274.5722205,,,,0.1-1,,,,,,,,,,simple,351.77,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.84276658,64.823,,,
466,Diapensia lapponica,,272.8095346,,,,0.1-1,,,,0.6,,,,,1.7,simple,353.24,,>24,,1.355,,evergreen,,,,,5.0504,entire,rounded,1-3 times as long as wide,cuneate,,,,,,1.830936474,64.676,,,
467,Taxus baccata,,262.6022099,,,1.804097235,0.1-1,,,,,,,,,,simple,362.0,,>24,,2.17,2.5,evergreen,,0.169,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,1.762430939,63.8,,,
468,Carex rupestris,,258.3820916,,,1.048680544,0.1-1,,42.978,21.49437359,,,,,,,simple,365.75,,,,1.49,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.734107997,63.425,,,
469,Vaccinium oxycoccos,,257.5987155,,,1.830694437,0.1-1,,,,,,,,,6.4,simple,366.4585294,,,,1.533333333,,evergreen,,9.03E-02,,,,entire,pointed,1-3 times as long as wide,rounded,petiolate,0.3141,,,,1.728850439,63.35414706,,,
470,Festuca vivipara,,253.659172,,,,0.1-1,,,,,,,,,,simple,370.04,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.70241055,62.996,,,
471,Poa angustifolia,88.38422122,92.43198529,12.02145786,104.4677738,1.404652774,0.1-1,,43.42138873,31.50898216,,,,,,,simple,375.1724138,,,,1.378063833,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.180563857,,0.01245,0.806050454,1.665441177,62.48275862,0.216602844,1.882302231,11.61577878
472,Festuca ovina,,247.9522592,,,1.632500053,0.1-1,,46.23648155,33.39046167,,,,,,4.7,simple,375.36,,5.76,,1.34,,evergreen,,<1,,,10.1008,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.242,441.0065534,,,1.664109122,62.464,,,
473,Corynephorus canescens,,232.4586334,,,,0.1-1,,,,,,,,,,simple,391.9,,,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.560125056,60.81,,,
474,Gentianella germanica,,219.4252171,,,1.983611107,0.1-1,,,,,,,,,,simple,404.424,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,rounded,sessile,,,,,1.472652464,59.5576,,,
475,Carex capillaris,,219.24675,,,,0.1-1,,,,,,,,,,simple,404.62,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.471454698,59.538,,,
476,Empetrum nigrum,,218.5367267,,,1.967430532,0.1-1,,55.27,44.216,0.699069767,,,2.6,,3.083953488,simple,404.725993,,40.8,,1.19678559,,evergreen,,0.11,,,,entire,rounded,>3 times as long as wide,,petiolate,0.244,357.9529886,,,1.470807453,59.5274007,,,
477,Andromeda polifolia,,209.4919279,,,1.632638931,0.1-1,,56.91776218,36.64194301,,,,,,3.0,simple,415.63,,14.76,,1.55335,,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,petiolate,0.296,436.1163614,,,1.405986093,58.437,,,
478,Stuckenia pectinata,,,,,0.242083326,0.1-1,,,,,,,,,,simple,,,,,,,semi-evergreen,,0.561,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
479,Puccinellia distans,,,,,0.2425,0.1-1,,,,1.178571429,,,3.5,,4.25,simple,,,,,1.526666667,,,,0.229,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
480,Vulpia ciliata,,,,,0.784444451,0.1-1,,42.855,25.5241215,,,,,,,simple,,,,,2.09,0.0,,,0.26,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
481,Euphorbia exigua,,,,,0.964166641,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,truncate,sessile,,,,,,,,,
482,Linum bienne,,,,,0.964166641,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,0.132,343.920145,,,,,,,
483,Moenchia erecta,,,,,0.964166641,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,,,,,,,,
484,Tuberaria guttata,,,,,0.964166641,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
485,Dianthus armeria,,,,,1.103888869,0.1-1,,43.166,21.85620253,,,,,,,simple,,,,,1.975,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,0.19,408.2156611,,,,,,,
486,Gentianella campestris,,,,,1.212361097,0.1-1,,46.167,21.14841961,,,,,,,simple,,,,,2.183,0.0,,,0.142,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
487,Juncus bufonius,,,,,1.212361097,0.1-1,,44.748,30.11305518,,,,,,,simple,,0.2-0.5,,,1.486,,aestival,,0.2297,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
488,Linum catharticum,,,,,1.212361097,0.1-1,,42.97023232,30.01016061,,,,,,,simple,,,6,,0.69,,evergreen,,0.087395464,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
489,Gagea serotina,,,,,1.255277753,0.1-1,,84.4202,21.65564477,,,,,,,simple,,,,,3.8983,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
490,Gentianella amarella,,,,,1.263333321,0.1-1,,46.092,10.87417427,,,,,,,simple,,,,,4.238666667,,aestival,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,0.194,,,,,,,,
491,Linaria supina,,,,,1.281527758,0.1-1,,,,,,,,,,simple,,,,,2.039,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,0.31,136.4642988,,,,,,,
492,Genista anglica,,,,,1.370277762,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,subsessile,,,,,,,,,
493,Galium uliginosum,,,,,1.533333302,0.1-1,,46.676,27.0428737,,,,,,,simple,,,,,1.726,0.0,semi-evergreen,,0.0733,,,,entire,mucronate,>3 times as long as wide,cuneate,sessile,,,,,,,,,
494,Juniperus communis,,,,,1.58930558,0.1-1,,56.2739394,49.12308937,0.505,,,,,2.55,simple,,0.2-0.5,>24,,1.145570039,,evergreen,,0.01,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
495,Filago lutescens,,,,,1.632500053,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,0.0394,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
496,Stellaria graminea,,,,,1.632500053,0.1-1,,44.4,18.73417722,,,,,,,simple,,,18,,2.37,,evergreen,,0.0846,,,,entire,pointed,>3 times as long as wide,rounded,sessile,,,,,,,,,
497,Euphorbia cyparissias,,,,,1.983611107,0.1-1,,45.84,18.94214876,,,,,,,simple,,,,,2.42,0.0,,,0.1883,,,,entire,pointed,>3 times as long as wide,rounded,sessile,,,,,,,,,
498,Thymus pulegioides,,,,,1.983611107,0.1-1,,,,,,,,,,simple,,,,,Oct-20,,evergreen,,01-Feb,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
499,Vulpia bromoides,,,,,2.062083304,0.1-1,,43.5338,52.70435835,,,,,,,simple,,,,,0.826,0.0,hibernal,,0.1086,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
500,Cerastium semidecandrum,,,,,2.091874957,0.1-1,,,,,,,,,,simple,,,,,,,hibernal,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,,,,,,,,
501,Salix repens,,,,,2.283611059,0.1-1,,51.00097166,33.72116846,,,,,,,simple,,,,,2.048,4.0,aestival,,5.45E-02,,,,entire,pointed,>3 times as long as wide,rounded,petiolate,0.175,425.73241,,,,,,,
502,Aira praecox,,,,,3.219583273,0.1-1,,,,,,,,,,simple,,,6,,,,hibernal,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
503,Sherardia arvensis,,,,,3.219583273,0.1-1,,,,,,,,,,simple,,,,,,,hibernal,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
504,Spergularia rubra,,,,,3.219583273,0.1-1,,,,,,,,,,simple,,,,,2.71,0.0,aestival,,,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
505,Veronica serpyllifolia,,,,,3.219583273,0.1-1,,,,,,,,,,simple,,,,,,1.5,evergreen,,,,,,entire,rounded,1-3 times as long as wide,cuneate,subsessile,,,,,,,,,
506,Agrostis curtisii,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
507,Alopecurus bulbosus,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
508,Bupleurum tenuissimum,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
509,Carex dioica,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
510,Carex lachenalii,,,,,,0.1-1,,,,2.774193548,,,3.2,,8.290322581,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
511,Carex microglochin,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
512,Catapodium marinum,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
513,Catapodium rigidum,,,,,,0.1-1,,,,,,,,,,simple,,,,,2.55,,hibernal,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
514,Cerastium brachypetalum,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,,,,,,,,
515,Cerastium diffusum,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
516,Cerastium nigrescens,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,,,,,,,,
517,Crassula helmsii,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,connate,,,,,,,,,
518,Dianthus deltoides,,,,,,0.1-1,,,,,,,,,,simple,,,36,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
519,Dianthus plumarius,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
520,Drosanthemum floribundum,,,,,,0.1-1,,,,,,,,,,,,,,,,0.0,,,,,,,entire,,,,sessile,,,,,,,,,
521,Drosera rotundifolia,,,,,,0.1-1,,44.12320592,36.76175583,,,,,,,simple,,,02-Jun,,1.200247511,22.5,aestival,,,,,,entire,rounded,length = width,,petiolate,0.1875,134.2672588,,,,,,,
522,Elodea callitrichoides,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
523,Elodea nuttallii,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,evergreen,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
524,Epilobium brunnescens,,,,,,0.1-1,,,,,,,,,,simple,,,,,,3.0,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
525,Euphorbia paralias,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,truncate,sessile,,,,,,,,,
526,Euphorbia peplus,,,,,,0.1-1,,,,,,,,,,simple,,,,,,6.0,aestival,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
527,Euphorbia portlandica,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,entire,mucronate,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
528,Festuca longifolia,,,,,,0.1-1,,,,,,,,,,simple,,,,,<5,0.0,,,02-Mar,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
529,Filago germanica,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
530,Gagea bohemica,,,,,,0.1-1,,,,,,,,,,simple,,,06-Dec,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
531,Galium pumilum,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
532,Galium saxatile,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
533,Galium sterneri,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,evergreen,,,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
534,Gentiana verna,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,evergreen,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
535,Gnaphalium uliginosum,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,aestival,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
536,Hammarbya paludosa,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sheathing,,,,,,,,,
537,Herniaria ciliolata,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
538,Holosteum umbellatum,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
539,Hydrilla verticillata,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
540,Hypericum humifusum,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
541,Hypericum linariifolium,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,rounded,>3 times as long as wide,cuneate,sessile,,,,,,,,,
542,Hypericum pulchrum,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,rounded,1-3 times as long as wide,cordate,sessile,,,,,,,,,
543,Kalmia polifolia,,,,,,0.1-1,,,,,,,,,,,,,,,1.3,,evergreen,,0.07,,,,entire,,,,,,,,,,,,,
544,Koenigia islandica,,,,,,0.1-1,,,,1.318181818,,,2.2,,3.772727273,simple,,,,,,2.0,,,,,,,entire,rounded,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
545,Legousia hybrida,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
546,Lepidium ruderale,,,,,,0.1-1,,,,,,,,,,simple,,,,,4.02,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
547,Limosella aquatica,,,,,,0.1-1,,,,,,,,,,simple,,,,,,50.0,,,,,,,entire,rounded,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
548,Limosella australis,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
549,Linaria repens,,,,,,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
